given_negative_reason,given_negative_reason_confidence,airline,retweet_count,tweet,ensemble_sentiment,ensemble_sentiment_confidence
,,Virgin America,0,virginamerica freddieawards done done best airline around hand,positive,1.0
,0.0,Virgin America,0,virginamerica book hawaii,neutral,0.9621044397354126
Customer Service Issue,1.0,Virgin America,0,virginamerica chat support working site httptcovhpgtdwpk,negative,1.0
,,Virgin America,0,virginamerica view downtown los angeles hollywood sign beyond rain mountain httptcodwnfibtr,neutral,0.9688188433647156
Flight Booking Problems,0.6688,Virgin America,0,virginamerica hey first time flyer next week excited im hard time getting flight added elevate account help,negative,0.6688
,,Virgin America,0,virginamerica plz help win bid upgrade laxgtsea,neutral,1.0
,0.0,Virgin America,0,virginamerica unused ticket moved new city dont fly fly expires travelhelp,negative,0.8378099203109741
,,Virgin America,0,virginamerica flight leaving dallas seattle time feb,neutral,1.0
,,Virgin America,0,virginamerica im elevategold good reason rock,positive,1.0
,,Virgin America,0,virginamerica dream httptcooadrfaoq httptcolwwdackhx,neutral,0.9332769513130188
,,Virgin America,0,virginamerica wow blew mind,positive,1.0
,,Virgin America,0,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscar ladygaga think carrieunderwood agree,neutral,1.0
,,Virgin America,0,virginamerica ladygaga carrieunderwood entertaining,neutral,0.8021538257598877
,0.0,Virgin America,0,virginamerica way supposed take minute ago website still show time thanks,neutral,0.7410125136375427
,,Virgin America,0,virginamerica ladygaga carrieunderwood julie andrew way though ladygaga impressive carrieunderwood,positive,0.9612028002738953
,,Virgin America,0,virginamerica wish flew atlanta soon,neutral,1.0
,0.0,Virgin America,0,virginamerica ladygaga carrieunderwood julie andrew hand,neutral,0.9403883218765259
,,Virgin America,0,virginamerica flight leaving dallas la february th,neutral,1.0
Flight Booking Problems,0.6939,Virgin America,0,virginamerica hi im excited lgagtdal deal ive trying book last week amp page never load thx,positive,0.9877966046333313
,,Virgin America,0,virginamerica know need spotify stat guiltypleasures,positive,1.0
,,Virgin America,0,virginamerica ladygaga carrieunderwood im lady gaga amazing,positive,0.98997563123703
,,Virgin America,0,virginamerica ladygaga carrieunderwood carrie,neutral,0.9415579438209534
,,Virgin America,0,virginamerica new marketing song httpstcoflfulcbq let u know think,neutral,1.0
,,Virgin America,0,virginamerica ladygaga carrieunderwood julie andrew first lady gaga wowd last night carrie meh,neutral,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica called week ago adding flight elevatethey still havent shown uphelp,negative,1.0
,,Virgin America,0,virginamerica ladygaga carrieunderwood great go carrieunderwood,positive,0.9905993342399597
,,Virgin America,0,virginamerica ladygaga carrieunderwood sorry mary martin first,neutral,1.0
,,Virgin America,0,virginamerica ladygaga carrieunderwood love three really cant beat classic,positive,1.0
,0.0,Virgin America,0,virginamerica dal dca pm tried check status please,neutral,0.9723798036575317
Customer Service Issue,1.0,Virgin America,0,virginamerica heyyyy guyyyys trying hour someone call please,negative,1.0
Late Flight,0.6789,Virgin America,0,virginamerica hi virgin im hold minute earlier flight la nyc tonight earlier pm,negative,1.0
,,Virgin America,0,virginamerica congrats winning travelzoo award best deal airline u httptcokjiljaebv,positive,0.9891228079795837
Lost Luggage,1.0,Virgin America,0,virginamerica everything fine lost bag,negative,1.0
,,Virgin America,0,virginamerica need change reservation virgin credit card need modify phone waive change fee online,neutral,1.0
,0.0,Virgin America,0,virginamerica emailed customer service team let know need tracking number,neutral,0.9723494052886963
,,Virgin America,0,virginamerica hi booked need add baggage,neutral,1.0
Flight Attendant Complaints,0.3516,Virgin America,0,virginamerica airline awesome lax loft need step game dirty table floor httptcohyvrfhjht,negative,1.0
,,Virgin America,0,virginamerica worried great ride new plane great crew airline,positive,1.0
,,Virgin America,0,virginamerica awesome flew yall sat morning way correct bill,positive,1.0
,,Virgin America,0,virginamerica watch best student film country foot cmfatfeet httptcokekpdmgif,neutral,1.0
,,Virgin America,0,virginamerica first time flying different ratepolicy medium bag thanks,neutral,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica going customer service anyway speak human asap thank,negative,1.0
,,Virgin America,0,virginamerica happened doom,neutral,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica cant supp biz traveler southwestair customer service jetblue neverflyvirginforbusiness,negative,1.0
,,Virgin America,0,virginamerica ive applied member inflight crew teamim interested flightattendant dreampath g,positive,1.0
Late Flight,0.3477,Virgin America,0,virginamerica youre best whenever begrudgingly use airline im delayed late,negative,0.6792
Can't Tell,1.0,Virgin America,0,virginamerica interesting flying cancelled next four flight plannedneverflyvirginforbusiness,negative,1.0
Can't Tell,1.0,Virgin America,0,virginamerica disappointing experience shared every business traveler meet neverflyvirgin,negative,1.0
Flight Booking Problems,1.0,Virgin America,0,virginamerica im trouble adding wife booked elevate account help httptcopxhqoksr,negative,1.0
,0.0,Virgin America,0,virginamerica cant bring reservation online using booking problem code,negative,0.9213385581970215
,,Virgin America,0,virginamerica random q whats distribution elevate avatar bet kitty disproportionate share httptcoaptzpurop,neutral,1.0
,0.0,Virgin America,0,virginamerica lt flying va life happens trying change trip jperhi helpva home page let,neutral,0.9772971868515015
Can't Tell,0.6513,Virgin America,0,virginamerica site back,negative,1.0
,,Virgin America,0,virginamerica rnp yeah know,neutral,1.0
,0.0,Virgin America,0,virginamerica hi point elevate account recent add point account,neutral,0.9641434550285339
Cancelled Flight,1.0,Virgin America,0,virginamerica tv interesting video disappointed cancelled flightled flight went jfk saturday,negative,1.0
Late Flight,1.0,Virgin America,0,virginamerica landed lax hour late bag check business travel friendly nomorevirgin,negative,1.0
,0.0,Virgin America,0,virginamerica redirected,neutral,0.9277397394180298
Customer Service Issue,0.6863,Virgin America,0,virginamerica website btw new website isnt great user experience time another redesign,negative,1.0
Customer Service Issue,0.6771,Virgin America,0,virginamerica cant check add bag website isnt working ive tried desktop mobile httptcoavyqdmpiy,negative,1.0
Can't Tell,0.659,Virgin America,0,virginamerica let scanned passenger leave plane told someone remove bag st class bin uncomfortable,negative,1.0
Flight Booking Problems,0.6714,Virgin America,0,virginamerica phone number cant find call reservation,negative,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica anyone anything today website useless one answering phone,negative,1.0
,,Virgin America,0,virginamerica trying add boy prince ressie sf thursday virginamerica lax httptcogsbjcgm,neutral,1.0
Late Flight,0.6882,Virgin America,0,virginamerica must traveler miss late check bag missed morning appointment lost business sfolax,negative,1.0
,,Virgin America,0,virginamerica check new music httptcomarcnocwzn,neutral,1.0
Late Flight,0.3521,Virgin America,0,virginamerica hows direct fllgtsfo unexpected layover vega fuel yet peep next bought vega sneaky,negative,0.6925
Late Flight,0.3486,Virgin America,0,virginamerica late bag check lost business missed apt three people exp,negative,1.0
,,Virgin America,0,virginamerica amazing customer service raeann sf shes best customerservice virginamerica flying,positive,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica called service line hung awesome sarcasm,negative,1.0
Flight Booking Problems,0.6366,Virgin America,0,virginamerica site tripping im trying check im getting plain text version reluctant enter card info,negative,1.0
,0.0,Virgin America,0,virginamerica scheduled sfo dal today changed th due weather look still,neutral,0.9737038016319275
,0.0,Virgin America,0,virginamerica getaway deal may oneway lot cool city httptcotzzjhuibch cheapflights farecompare,positive,0.9353168606758118
,,Virgin America,0,virginamerica getaway deal may oneway lot cool city httptcorpdbpxwnd cheapflights farecompare,neutral,1.0
,,Virgin America,0,virginamerica getaway deal may oneway lot cool city httptcobxiygt cheapflights farecompare,positive,0.9382203817367554
,,Virgin America,0,virginamerica getaway deal may oneway lot cool city httptcoqdljhsloi cheapflights farecompare,positive,0.9298227429389954
,,Virgin America,0,virginamerica great week,positive,0.9855485558509827
,0.0,Virgin America,0,virginamerica come back phl already need take u horrible cold pleasecomeback httptcoglxfwpnqh,negative,0.9503063559532166
Late Flight,1.0,Virgin America,0,virginamerica concerned fly plane need delayed due tech stop,negative,1.0
,,Virgin America,0,virginamerica best airline flown oneasy change reservationhelpful representative amp comfortable flying experience,positive,1.0
,,Virgin America,0,virginamerica another rep kicked butt naelah represents team beautifully thank,positive,1.0
,,Virgin America,0,virginamerica beautiful frontend design right now cool still book ticket bc backend secure,positive,1.0
,,Virgin America,0,virginamerica love team running gate e la tonight waited delayed kept thing entertaining,positive,1.0
Customer Service Issue,0.3773,Virgin America,0,virginamerica use another browser amp brand reputation built tech response doesnt crossbrowser compatible website,negative,0.7648648619651794
Flight Booking Problems,0.6767,Virgin America,0,virginamerica now booking problem site totally folk problem,negative,1.0
Customer Service Issue,0.6527,Virgin America,0,virginamerica customer service min delay connecting passenger seems long va,negative,1.0
,,Virgin America,0,virginamerica thanks outstanding nycjfk crew moved mountain home san francisco tonight,positive,1.0
,,Virgin America,0,virginamerica absolute best team customer service every time fly im delighted thank,positive,1.0
,,Virgin America,0,virginamerica provide complimentary upgrade first class available seat,neutral,1.0
Customer Service Issue,0.6703,Virgin America,0,virginamerica need change thats scheduled hour min wait time phone im calling intern help,negative,0.8644657731056213
,,Virgin America,0,virginamerica completely awesome experience last month boslas nonstop thanks awesome depart time vabeatsjblue,positive,1.0
,,Virgin America,0,virginamerica watch oscar jfkgtsfo,neutral,1.0
,0.0,Virgin America,0,virginamerica cancelled flightled,negative,0.9319759011268616
Customer Service Issue,0.6448,Virgin America,0,virginamerica failing customer check process link tsa precheck,negative,1.0
Can't Tell,1.0,Virgin America,0,virginamerica fidifamilies u terrible airline gave u hotel hotline number said sorry,negative,1.0
,,Virgin America,0,virginamerica number sfo cabo san lucas arrived yet,neutral,1.0
Cancelled Flight,0.6875,Virgin America,0,virginamerica chrysichrysic assistance yesterday u cancelled flightled give u hotel hotline shame,negative,1.0
Late Flight,1.0,Virgin America,0,virginamerica another delayed likingyoulessandless,negative,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,negative,1.0
,,Virgin America,1,virginamerica rock making watch oscar redcarpet oscar oscar,positive,1.0
,,Virgin America,0,virginamerica reallytallchris dropped track httpstcozvpttrk,neutral,1.0
,,Virgin America,0,virginamerica always xoxo,positive,0.7791000604629517
Flight Booking Problems,1.0,Virgin America,0,virginamerica cant book seat flight buy even check creates much anxiety frustrated,negative,1.0
Flight Attendant Complaints,0.3562,Virgin America,0,virginamerica youd think paying extra buck rt luggage might afford hiring extra hand sfo lame,negative,0.9502630829811096
,,Virgin America,0,virginamerica best customer service rep world irmafromdallas take cake,positive,1.0
,0.0,Virgin America,0,virginamerica find u flt lax sooner midnight monday great customer service,positive,0.9875017404556274
Late Flight,0.6889,Virgin America,0,virginamerica please provide status cant imagine time web indicates dude weather andor dallas,neutral,0.9199956655502319
,,Virgin America,0,virginamerica amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort,positive,1.0
Cancelled Flight,1.0,Virgin America,0,virginamerica paid premium fly across country cancelled offer check fee upgrade love sad face,negative,1.0
Flight Booking Problems,0.3684,Virgin America,0,virginamerica question possible book seat infant giving option want seat,neutral,0.9745680093765259
,,Virgin America,2,always together youre welcome rt virginamerica jessicajaymes youre welcome,positive,1.0
,,Virgin America,0,virginamerica home dc sunset globe backtowinter back work refreshed httptcovxvbctdlf,positive,1.0
Damaged Luggage,0.6501,Virgin America,0,virginamerica dont understand need dm give answer damaged luggage policy,negative,1.0
Damaged Luggage,1.0,Virgin America,0,virginamerica mean dont policy destroyed luggage,negative,1.0
,,Virgin America,0,virginamerica special assistance travel alone w kid infant priority boarding,neutral,1.0
,,Virgin America,0,virginamerica thank checking ticket purchased customer happy,positive,1.0
,,Virgin America,0,virginamerica website coming back online,neutral,1.0
,0.0,Virgin America,0,virginamerica love field sfo definitely cancelled flightled monday february,neutral,0.6732
,,Virgin America,0,virginamerica lga dfw time,neutral,1.0
,,Virgin America,0,virginamerica driver license expired little month fly friday morning using expired license,neutral,1.0
Customer Service Issue,0.6983,Virgin America,0,virginamerica problem booking problem web site keep giving error contact phone phone minute wait,negative,1.0
Cancelled Flight,0.6593,Virgin America,0,virginamerica reschedule cancelled flightled flight online change button greyed,negative,0.8794853687286377
Flight Booking Problems,0.6556,Virgin America,0,virginamerica rang wait minute book ticket vendor fix site,negative,1.0
Late Flight,0.3571,Virgin America,0,virginamerica got told todaychecked email tomorrow unacceptable,negative,1.0
Cancelled Flight,1.0,Virgin America,0,virginamerica lga cancelled flighted stuck dallas called reschedule told today,negative,1.0
Bad Flight,1.0,Virgin America,0,virginamerica dont pairing include red wine white offered redwineisbetter,negative,1.0
Customer Service Issue,0.3371,Virgin America,0,virginamerica website,neutral,0.9468560814857483
Customer Service Issue,0.35,Virgin America,0,virginamerica site seems little wonked right now may want look tried two browser cs httptcoqsqmmkf,negative,0.8044337034225464
Customer Service Issue,0.7002,Virgin America,0,virginamerica im disappointed agent designated silver status check line dullesairport closed assist pasengers,negative,1.0
,,Virgin America,0,virginamerica plan include austin dallas route topnews arab emirate httptcoaqzwecokk,neutral,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica normal receive reply central baggage baggageissues smh,negative,1.0
longlines,0.6818,Virgin America,0,virginamerica logan airport waiting checkin checkin desk open,negative,1.0
,,Virgin America,0,virginamerica jump dallasaustin market dallasnews httptcoewwgigdx,neutral,1.0
,,Virgin America,0,virginamerica beat eps view take southwestair va luv investor business daily httptcoflwmgdahxu,neutral,1.0
,,Virgin America,0,virginamerica lister show monday,neutral,1.0
,,Virgin America,0,virginamerica begin dallasaustin flight april ketr httptcossuvwwkyhh,neutral,1.0
Can't Tell,0.6629999999999999,Virgin America,0,virginamerica congrats got business ewr sfolax fuck united fl sfoewr clincher,negative,1.0
Customer Service Issue,0.6777,Virgin America,0,virginamerica applied week ago havent heard back im flying week disappointed,negative,1.0
,0.0,Virgin America,0,virginamerica id love know policy damaged luggage,neutral,0.6816
,,Virgin America,0,virginamerica thank follow,positive,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica many apology worse airline dont even respond cudtomers,negative,1.0
Cancelled Flight,0.3709,Virgin America,0,virginamerica shame va making people spend money stranded city airline landing jfk reimburse,negative,1.0
,0.0,Virgin America,0,virginamerica ttinac dm,neutral,0.9624638557434082
,0.0,Virgin America,0,virginamerica please flight sjc choice fly southwest vega,neutral,0.9387372732162476
Customer Service Issue,0.7148,Virgin America,0,virginamerica bad say take day via confirmation email inquired week claim week,negative,1.0
Cancelled Flight,0.6791,Virgin America,0,virginamerica bos gt la tomorrow cancelled flightled notification wait time hour rebook another airline,negative,0.9169653654098511
,0.0,Virgin America,0,rt virginamerica youve met match got status another airline upgrade restr httptcorhkamxvf httptcopyalebgkjt,positive,0.7953019738197327
,,Virgin America,0,virginamerica way fly elevate gold,positive,1.0
,,Virgin America,0,virginamerica guy flight cmh,neutral,0.9519737362861633
Can't Tell,0.648,Virgin America,0,virginamerica lot apology thrown customer seevery sad thanks nothing worst airline,negative,1.0
Flight Attendant Complaints,0.6729,Virgin America,0,virginamerica stuff wrong nothing worst,negative,1.0
,0.0,Virgin America,0,virginamerica issue finding missing item plane help find airport plane headed next,neutral,0.6743
,,Virgin America,0,virginamerica match americanairlines status cool,positive,0.9531713128089905
,,Virgin America,0,virginamericayouve met matchgot status another airline upgrade httptcohrdktqy asarcoesar,neutral,0.8135364055633545
Flight Booking Problems,0.6705,Virgin America,0,virginamerica trying book guy website wont let lose business,negative,1.0
Can't Tell,1.0,Virgin America,0,virginamerica suck,negative,1.0
,,Virgin America,0,virginamerica thanks,positive,1.0
Flight Booking Problems,0.6648,Virgin America,0,virginamerica dmd issue persisting,negative,1.0
Cancelled Flight,1.0,Virgin America,0,virginamerica never recd cancelled flightlation notice left w option fly p driving la red eye mon w kid,negative,1.0
Flight Booking Problems,1.0,Virgin America,0,virginamerica trying book amp site,negative,1.0
Cancelled Flight,0.7158,Virgin America,0,virginamerica flight flying boston tomorrow need home cancelled flightled didnt anything,negative,0.9447398781776428
Cancelled Flight,1.0,Virgin America,0,virginamerica stink cancelled flighted psp jfk notification ability rebook disappointed expected better,negative,1.0
,,Virgin America,0,virginamerica love guy song dancing high school dance revue,positive,1.0
Customer Service Issue,0.6733,Virgin America,0,virginamerica website im trying check,negative,1.0
,,Virgin America,0,virginamerica done thank quick response apparently faster sitting hold,positive,1.0
,0.0,Virgin America,0,virginamerica nervous dc lax getting cancelled flightled tomorrow sent dm help,negative,0.8361722826957703
,,Virgin America,0,virginamerica cool picture another virginamerica plane wing site httptcobagfdc,positive,1.0
,,Virgin America,0,virginamerica keep great work,positive,1.0
,,Virgin America,0,virginamerica goodness people love field amazing pressure texas beatstheothers crisis please fly ny,positive,1.0
,0.0,Virgin America,0,virginamerica thanks great la boston pilot great job landing snow go back la now seriously,positive,0.9545702934265137
,,Virgin America,0,virginamerica please new york area monday afternoon,neutral,1.0
,,Virgin America,0,virginamerica thanks much awesome support guy rock,positive,1.0
Bad Flight,0.7053,Virgin America,0,virginamerica seat row dont recline mention website soreback,negative,0.9679442048072815
Late Flight,1.0,Virgin America,0,virginamerica delayed hour la due mechanical problem handle pro tossed u free drink,negative,1.0
Cancelled Flight,0.642,Virgin America,0,virginamerica cancelled flight today precipitation scared,negative,0.9664561152458191
,0.0,Virgin America,0,virginamerica twitter team guy killed rescheduling asap thank,positive,0.6667
Cancelled Flight,0.6735,Virgin America,0,virginamerica guy charged reschedule cancelled flighted now refusing refund whats deal,negative,1.0
Customer Service Issue,0.6968,Virgin America,0,virginamerica cant access website safari iphone seems work mac ipad need iphone add passbook,negative,1.0
,0.0,Virgin America,0,virginamerica ipad iphone clicking checkin link email received hr,neutral,0.948961615562439
Customer Service Issue,0.6990000000000001,Virgin America,0,virginamerica mobile site broken show headerelevateusernumofpointsavailable number point wont let checkin,negative,0.9707790017127991
Cancelled Flight,0.3412,Virgin America,0,virginamerica really looking forward let know rescheduled diehardvirgin,positive,0.9886758327484131
Cancelled Flight,0.6452,Virgin America,0,virginamerica cancelled vx one sec delayed airport next cancelled flightledgonna email call reschedule,negative,1.0
Customer Service Issue,0.6766,Virgin America,0,virginamerica problem link email checkin thanks,negative,1.0
Flight Booking Problems,0.6954,Virgin America,0,virginamerica change another airline dc today united able land dc cost ugh,negative,1.0
Cancelled Flight,1.0,Virgin America,0,virginamerica looking forward first today cancelled flightled along subsequent one,negative,1.0
,,Virgin America,0,virginamerica putting great deal pdx la la pdx show love httptcoeniqgbuzj,positive,0.9920340180397034
,,Virgin America,0,virginamerica wish afford fly next friday going back home love everything airline,positive,1.0
Can't Tell,0.6526,Virgin America,0,virginamerica gon na deal dallas dc deal dc dallas sad,negative,1.0
,,Virgin America,0,virginamerica bug report guy,neutral,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica hold time call center bit much,negative,1.0
,,Virgin America,0,virginamerica httptcovpqemxuq,neutral,0.9649309515953064
Flight Booking Problems,0.3497,Virgin America,0,virginamerica site help,neutral,0.9496530294418335
,,Virgin America,0,virginamerica best attendant httptcopxdelnql,positive,1.0
,,Virgin America,0,awesome rt virginamerica watch nominated film foot meetthefleet oscar httptcodnstitrzwy,positive,0.978260338306427
,,Virgin America,0,virginamerica thanks much,positive,1.0
Customer Service Issue,0.3505,Virgin America,0,virginamerica trying reset password email never arrives help,negative,0.9337192177772522
,,Virgin America,0,virginamerica airline based silicon valley disruption fcmostinnovative incubator fastcompanys httptcowulbcncr,neutral,0.8745595216751099
,,Virgin America,0,virginamerica nicely done,positive,1.0
,,Virgin America,0,virginamerica im looking forward watching oscar home tomorrow might even something bubbly drink,positive,0.9877633452415466
Late Flight,0.6489,Virgin America,0,virginamerica reason delay departure vx jfk afternoon,negative,0.6489
Cancelled Flight,0.6786,Virgin America,0,virginamerica today palm spring ca jfk ny cancelled flightled,negative,0.6786
,,Virgin America,0,virginamerica hahaha virginamerica guy amazing love guy,positive,1.0
,,Virgin America,0,virginamerica sound fun,positive,1.0
,,Virgin America,0,virginamerica update jfk gt lax,neutral,1.0
,,Virgin America,0,virginamerica spruce moose,neutral,1.0
Customer Service Issue,1.0,Virgin America,0,virginamerica cs site right now please fix site unusable,negative,1.0
Lost Luggage,0.3341,Virgin America,0,virginamerica vega boston today checked online bag count didnt register fix somehow,negative,0.9126030802726746
,,Virgin America,0,virginamerica classiq luv virgin america greetingz,positive,0.9855985641479492
Customer Service Issue,0.6636,Virgin America,0,virginamerica hi im trying checkin website working tried different browser problem continues,negative,0.6636
,,Virgin America,0,virginamerica thanks great customer service today amp helping travel sorted,positive,1.0
,,Virgin America,0,virginamerica thanks guy sweet route rockies airplanemodewason,positive,1.0
,,Virgin America,0,virginamerica love s music blasting gate boston waiting sanfrancisco iced coffee,positive,1.0
Bad Flight,0.3514,Virgin America,0,virginamerica passenger d flt assaulted shouldnt flown trust he banned crew filed report faanews,negative,0.973678708076477
Flight Booking Problems,0.6809,Virgin America,0,virginamerica current bug website show select departure city selecting destination city httptcosllyibevq,negative,1.0
Damaged Luggage,1.0,Virgin America,0,virginamerica luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think wasnt help,negative,1.0
,,Virgin America,0,virginamerica thank easy itinerary shift impending weather quick painless amp free,positive,1.0
,,Virgin America,0,virginamerica youd love see girl inspired become pilot rt free woaw event march abq httptcorfxlvkgdh,positive,0.979796826839447
,,Virgin America,0,virginamerica thanks good time back vodkatonics entire flightsfo,positive,1.0
,,Virgin America,0,virginamerica beat expectation share take santa cruz sentinel httptcoqmdqbaig,neutral,1.0
,,Virgin America,0,virginamerica plan start flying direct dal la,neutral,1.0
,,Virgin America,0,virginamerica big lovegratitudempower w httptcoagrkncpf werin oscar vipswagbags avalonhollywood httptcoybmbgsdhn,positive,0.9485805630683899
,,Virgin America,0,virginamerica youre great job adding little luxuriesaesthetics improve air travel experience thank keep,positive,1.0
Bad Flight,0.6765,Virgin America,0,virginamerica requested window seat confirmed window got stuck middle seat good way treat silver member,negative,1.0
,,Virgin America,0,virginamerica grand budapest hotel oscarscountdown,neutral,1.0
,,Virgin America,0,virginamerica missed newsvp next trip,neutral,1.0
Bad Flight,0.3634,Virgin America,0,virginamerica wtf paid direct purpose stop fuel exhausted frequent flier nothing inconvenience,negative,0.9712170958518982
Customer Service Issue,0.6633,Virgin America,0,virginamerica something wrong website safari iphone,negative,1.0
,,Virgin America,1,virginamerica thanks gate checking baggage full dfwlax giving early boarding sweet,positive,1.0
Can't Tell,0.6368,Virgin America,0,virginamerica already checked page expired x,negative,0.8356909155845642
Customer Service Issue,0.6525,Virgin America,0,virginamerica boo refunding seat upgrade fee want buy first place,negative,1.0
,,Virgin America,0,virginamerica share rise q financial result usa today httptcolfspefey,neutral,1.0
,,Virgin America,0,virginamerica add pillow instead lieflat seat first class arm race httptcorgywjbbhm,neutral,1.0
,,Virgin America,0,virginamerica see,neutral,0.9372085332870483
,,Virgin America,0,virginamerica way take advantage mayweatherpacquiao,neutral,0.953608512878418
,,Virgin America,0,virginamerica know im flying virgin fight mayweatherpacquiao,neutral,1.0
,,Virgin America,0,virginamerica inflight team make experience amazing,positive,1.0
,,Virgin America,0,virginamerica cutest salt pepper shaker think guy cant better httptcovckeulgj,positive,1.0
Bad Flight,0.6761,Virgin America,0,virginamerica moved seat notice better seat cabin select behind row selected disappointed,negative,1.0
,,Virgin America,0,virginamerica share q result iol httptcoxzqegnef,neutral,1.0
,,Virgin America,0,virginamerica fav airline,positive,1.0
,,Virgin America,0,virginamerica hot female pilot sweet dca sfo,positive,0.6776
,,Virgin America,0,guy going start flying paris virginamerica lizautter youre welcome,neutral,1.0
,,Virgin America,0,virginamerica policy flying surgery still waiting answer tell doctor,neutral,1.0
Lost Luggage,1.0,Virgin America,0,virginamerica already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help,negative,1.0
,,Virgin America,0,virginamerica thank,positive,1.0
Customer Service Issue,0.6569,Virgin America,0,virginamerica anything going website ive getting lot error past minute,negative,0.938075840473175
,0.0,Virgin America,0,virginamerica think left something plane yesterday callah,neutral,0.7829867601394653
,0.0,Virgin America,0,virginamerica need follow back order dm,neutral,0.9734219908714294
,,Virgin America,0,virginamerica need start flying kciairport,neutral,1.0
,0.0,Virgin America,0,virginamerica told check airline regulation first contacted,neutral,0.9565431475639343
