given_sentiment,given_sentiment_confidence,given_negative_reason,given_negative_reason_confidence,airline,retweet_count,tweet,sia_sentiment,sia_sentiment_confidence,bert_sentiment,bert_sentiment_confidence,roberta_sentiment,roberta_sentiment_confidence,distilbert_sentiment,distilbert_sentiment_confidence,ensemble_sentiment,ensemble_sentiment_confidence
positive,1.0,,,Virgin America,0,virginamerica excited first cross country lax mco ive heard nothing great thing virgin america daystogo,negative,0.176,positive,0.9863452315330505,positive,0.9047361612319946,positive,0.518183708190918,positive,1.0
negative,1.0,Bad Flight,1.0,Virgin America,0,virginamerica flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,positive,0.144,negative,0.9049710035324097,negative,0.7967911958694458,positive,0.5344496369361877,negative,1.0
positive,1.0,,,Virgin America,0,flying virginamerica,neutral,1.0,neutral,0.9420768022537231,neutral,0.7745339274406433,positive,0.608257532119751,positive,1.0
positive,1.0,,,Virgin America,0,virginamerica know amazingly awesome bosfll please want fly,positive,0.623,positive,0.9903210997581482,positive,0.9720540642738342,positive,0.9198620319366455,positive,1.0
negative,0.6705,Can't Tell,0.3614,Virgin America,0,virginamerica first fare may three time carrier seat available select,neutral,1.0,neutral,0.9308865666389465,neutral,0.9278333187103271,positive,0.550286054611206,neutral,0.9308865666389465
positive,1.0,,,Virgin America,0,virginamerica love graphic httptcoutgrrwaaa,positive,0.583,positive,0.9553905725479126,positive,0.8165662288665771,positive,0.934466540813446,positive,1.0
positive,1.0,,,Virgin America,0,virginamerica love hipster innovation feel good brand,positive,0.708,positive,0.9912978410720825,positive,0.9487019777297974,positive,0.9779658913612366,positive,1.0
neutral,1.0,,,Virgin America,0,virginamerica making bosgtlas non stop permanently anytime soon,negative,0.239,neutral,0.8092135787010193,negative,0.6851634979248047,negative,0.389537513256073,neutral,1.0
negative,1.0,Customer Service Issue,0.3557,Virgin America,0,virginamerica guy messed seating reserved seating friend guy gave seat away want free internet,positive,0.386,negative,0.9475906491279602,negative,0.8935518264770508,positive,0.5087863206863403,negative,1.0
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica status match program applied three week called emailed response,neutral,1.0,neutral,0.97695392370224,neutral,0.8816413879394531,positive,0.5089642405509949,negative,1.0
negative,1.0,Can't Tell,0.6614,Virgin America,0,virginamerica happened ur vegan food option least say ur site know wont able eat anything next hr fail,negative,0.171,negative,0.9706323742866516,negative,0.9226415157318115,negative,0.5114739537239075,negative,1.0
neutral,0.6854,,,Virgin America,0,virginamerica miss dont worry well together soon,neutral,0.407,neutral,0.8575633764266968,neutral,0.7011241316795349,positive,0.6875991821289062,neutral,0.8575633764266968
negative,1.0,Bad Flight,1.0,Virgin America,0,virginamerica amazing cant cold air vent vx noair worstflightever roasted sfotobos,positive,0.275,positive,0.7086982727050781,negative,0.604884684085846,negative,0.5665639638900757,negative,1.0
neutral,0.615,,0.0,Virgin America,0,virginamerica lax ewr middle seat red eye noob maneuver sendambien andchexmix,negative,0.107,neutral,0.9657226800918579,neutral,0.852148175239563,negative,0.4260989725589752,neutral,0.9657226800918579
negative,1.0,Flight Booking Problems,1.0,Virgin America,0,virginamerica hi bked cool birthday trip cant add elevate cause entered middle name booking problem,negative,0.15,positive,0.492301344871521,positive,0.5058484077453613,positive,0.4708974063396454,negative,1.0
neutral,1.0,,,Virgin America,0,virginamerica hour operation club sfo posted online current,neutral,1.0,neutral,0.9759325981140137,neutral,0.9412963390350342,positive,0.45376119017601013,neutral,1.0
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica help left expensive headphone iad lax today seat one answering lampf number lax,positive,0.25,neutral,0.8548639416694641,negative,0.9067637920379639,positive,0.4466152787208557,negative,1.0
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica awaiting return phone call prefer use online selfservice option,neutral,1.0,neutral,0.7374559044837952,neutral,0.535160481929779,positive,0.5279509425163269,negative,1.0
positive,1.0,,,Virgin America,0,virginamerica great news america start flight hawaii end year httptcorpzyfe via pacificbiznews,positive,0.272,positive,0.9835546612739563,positive,0.9435294270515442,positive,0.8688984513282776,positive,1.0
neutral,0.6207,,,Virgin America,0,nice rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience httptcoyounxtqp,positive,0.237,positive,0.9180818796157837,neutral,0.5337844491004944,positive,0.9163028597831726,neutral,0.6207
positive,1.0,,,Virgin America,0,virginamerica moodlighting way fly best experience cool calming moodlitmonday,positive,0.605,positive,0.990519106388092,positive,0.9386734962463379,positive,0.7926536798477173,positive,1.0
positive,1.0,,,Virgin America,0,virginamerica freddieawards done done best airline around hand,positive,0.552,positive,0.9850797057151794,positive,0.8951911330223083,positive,0.7538208365440369,positive,1.0
neutral,0.6791,,0.0,Virgin America,0,virginamerica book hawaii,neutral,1.0,neutral,0.9621044397354126,neutral,0.9117746949195862,positive,0.5943978428840637,neutral,0.9621044397354126
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica chat support working site httptcovhpgtdwpk,positive,0.351,neutral,0.9617676734924316,neutral,0.8212348222732544,positive,0.5976249575614929,negative,1.0
positive,0.6639,,,Virgin America,0,virginamerica view downtown los angeles hollywood sign beyond rain mountain httptcodwnfibtr,neutral,1.0,neutral,0.9688188433647156,neutral,0.9188339114189148,positive,0.5309335589408875,neutral,0.9688188433647156
negative,0.6688,Flight Booking Problems,0.6688,Virgin America,0,virginamerica hey first time flyer next week excited im hard time getting flight added elevate account help,positive,0.249,positive,0.9467765688896179,negative,0.5278117060661316,positive,0.8799653053283691,negative,0.6688
neutral,1.0,,,Virgin America,0,virginamerica plz help win bid upgrade laxgtsea,positive,0.661,neutral,0.5385510325431824,neutral,0.5273729562759399,positive,0.6958825588226318,neutral,1.0
neutral,0.6578,,0.0,Virgin America,0,virginamerica unused ticket moved new city dont fly fly expires travelhelp,neutral,1.0,negative,0.8378099203109741,negative,0.819585382938385,positive,0.38746941089630127,negative,0.8378099203109741
neutral,1.0,,,Virgin America,0,virginamerica flight leaving dallas seattle time feb,neutral,1.0,neutral,0.969959557056427,neutral,0.9122472405433655,positive,0.4068707823753357,neutral,1.0
positive,1.0,,,Virgin America,0,virginamerica im elevategold good reason rock,positive,0.367,positive,0.7490304708480835,positive,0.5631725788116455,positive,0.9425613880157471,positive,1.0
neutral,0.6799,,,Virgin America,0,virginamerica dream httptcooadrfaoq httptcolwwdackhx,positive,0.4,neutral,0.9332769513130188,neutral,0.8204941153526306,positive,0.7670623064041138,neutral,0.9332769513130188
positive,1.0,,,Virgin America,0,virginamerica wow blew mind,positive,0.559,positive,0.9626275300979614,positive,0.7705720663070679,positive,0.5767654180526733,positive,1.0
neutral,1.0,,,Virgin America,0,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscar ladygaga think carrieunderwood agree,positive,0.185,neutral,0.7068253755569458,neutral,0.8123140335083008,positive,0.743821918964386,neutral,1.0
neutral,0.6436,,,Virgin America,0,virginamerica ladygaga carrieunderwood entertaining,positive,0.492,positive,0.9258660078048706,neutral,0.8021538257598877,positive,0.795785129070282,neutral,0.8021538257598877
neutral,0.6764,,0.0,Virgin America,0,virginamerica way supposed take minute ago website still show time thanks,positive,0.225,neutral,0.7410125136375427,negative,0.7697688341140747,positive,0.7056044340133667,neutral,0.7410125136375427
positive,0.657,,,Virgin America,0,virginamerica ladygaga carrieunderwood julie andrew way though ladygaga impressive carrieunderwood,positive,0.268,positive,0.9612028002738953,neutral,0.7402923703193665,positive,0.676740288734436,positive,0.9612028002738953
neutral,1.0,,,Virgin America,0,virginamerica wish flew atlanta soon,positive,0.403,neutral,0.5174592137336731,neutral,0.7794948816299438,positive,0.6428771615028381,neutral,1.0
neutral,0.7118,,0.0,Virgin America,0,virginamerica ladygaga carrieunderwood julie andrew hand,positive,0.39,neutral,0.9403883218765259,neutral,0.8976054787635803,positive,0.6195164322853088,neutral,0.9403883218765259
neutral,1.0,,,Virgin America,0,virginamerica flight leaving dallas la february th,neutral,1.0,neutral,0.9698134660720825,neutral,0.9103435277938843,positive,0.42606204748153687,neutral,1.0
negative,0.6939,Flight Booking Problems,0.6939,Virgin America,0,virginamerica hi im excited lgagtdal deal ive trying book last week amp page never load thx,positive,0.13,positive,0.9877966046333313,positive,0.9500030875205994,positive,0.7682430744171143,positive,0.9877966046333313
positive,1.0,,,Virgin America,0,virginamerica know need spotify stat guiltypleasures,neutral,1.0,neutral,0.8243230581283569,neutral,0.7779346704483032,negative,0.6140978336334229,positive,1.0
positive,0.635,,,Virgin America,0,virginamerica ladygaga carrieunderwood im lady gaga amazing,positive,0.388,positive,0.98997563123703,positive,0.801935076713562,positive,0.8176818490028381,positive,0.98997563123703
neutral,0.7007,,,Virgin America,0,virginamerica ladygaga carrieunderwood carrie,neutral,1.0,neutral,0.9415579438209534,neutral,0.9028099775314331,positive,0.619209885597229,neutral,0.9415579438209534
neutral,1.0,,,Virgin America,0,virginamerica new marketing song httpstcoflfulcbq let u know think,neutral,1.0,neutral,0.966097354888916,neutral,0.9208498597145081,positive,0.687487781047821,neutral,1.0
neutral,1.0,,,Virgin America,0,virginamerica ladygaga carrieunderwood julie andrew first lady gaga wowd last night carrie meh,negative,0.098,neutral,0.9065775871276855,neutral,0.776343047618866,positive,0.5640174746513367,neutral,1.0
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica called week ago adding flight elevatethey still havent shown uphelp,neutral,1.0,negative,0.9476826190948486,negative,0.79989093542099,positive,0.48013073205947876,negative,1.0
neutral,0.6858,,,Virgin America,0,virginamerica ladygaga carrieunderwood great go carrieunderwood,positive,0.451,positive,0.9905993342399597,positive,0.7735470533370972,positive,0.8876476883888245,positive,0.9905993342399597
neutral,1.0,,,Virgin America,0,virginamerica ladygaga carrieunderwood sorry mary martin first,negative,0.178,neutral,0.9335170984268188,neutral,0.8714479804039001,positive,0.5734013915061951,neutral,1.0
positive,1.0,,,Virgin America,0,virginamerica ladygaga carrieunderwood love three really cant beat classic,positive,0.344,positive,0.9868450164794922,positive,0.7184848189353943,positive,0.9087918996810913,positive,1.0
neutral,0.6814,,0.0,Virgin America,0,virginamerica dal dca pm tried check status please,positive,0.247,neutral,0.9723798036575317,neutral,0.7487410306930542,positive,0.49247878789901733,neutral,0.9723798036575317
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica heyyyy guyyyys trying hour someone call please,positive,0.247,neutral,0.960027813911438,neutral,0.47105586528778076,positive,0.587533175945282,negative,1.0
negative,1.0,Late Flight,0.6789,Virgin America,0,virginamerica hi virgin im hold minute earlier flight la nyc tonight earlier pm,neutral,1.0,neutral,0.931032121181488,neutral,0.8514096140861511,positive,0.45707669854164124,negative,1.0
positive,0.6922,,,Virgin America,0,virginamerica congrats winning travelzoo award best deal airline u httptcokjiljaebv,positive,0.744,positive,0.9891228079795837,positive,0.9772719144821167,positive,0.9084872603416443,positive,0.9891228079795837
negative,1.0,Lost Luggage,1.0,Virgin America,0,virginamerica everything fine lost bag,negative,0.324,negative,0.8571668863296509,neutral,0.6834863424301147,positive,0.5076237320899963,negative,1.0
neutral,1.0,,,Virgin America,0,virginamerica need change reservation virgin credit card need modify phone waive change fee online,positive,0.167,neutral,0.9490179419517517,neutral,0.8889147043228149,positive,0.4566161334514618,neutral,1.0
neutral,0.6492,,0.0,Virgin America,0,virginamerica emailed customer service team let know need tracking number,positive,0.126,neutral,0.9723494052886963,neutral,0.9096009135246277,positive,0.49070581793785095,neutral,0.9723494052886963
neutral,1.0,,,Virgin America,0,virginamerica hi booked need add baggage,neutral,1.0,neutral,0.8442007303237915,neutral,0.7993770837783813,positive,0.5299288630485535,neutral,1.0
negative,1.0,Flight Attendant Complaints,0.3516,Virgin America,0,virginamerica airline awesome lax loft need step game dirty table floor httptcohyvrfhjht,positive,0.241,positive,0.8301622867584229,positive,0.617489218711853,positive,0.7041570544242859,negative,1.0
positive,1.0,,,Virgin America,0,virginamerica worried great ride new plane great crew airline,positive,0.5,positive,0.8237412571907043,positive,0.9260643124580383,positive,0.5077512264251709,positive,1.0
positive,1.0,,,Virgin America,0,virginamerica awesome flew yall sat morning way correct bill,positive,0.339,positive,0.9899181723594666,positive,0.9755786657333374,positive,0.7130897045135498,positive,1.0
neutral,1.0,,,Virgin America,0,virginamerica watch best student film country foot cmfatfeet httptcokekpdmgif,positive,0.344,positive,0.5932296514511108,positive,0.5408952832221985,positive,0.8071816563606262,neutral,1.0
neutral,1.0,,,Virgin America,0,virginamerica first time flying different ratepolicy medium bag thanks,positive,0.266,positive,0.6137248277664185,positive,0.5181428790092468,positive,0.7916391491889954,neutral,1.0
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica going customer service anyway speak human asap thank,positive,0.238,neutral,0.6328889727592468,neutral,0.5750856995582581,positive,0.5811927318572998,negative,1.0
neutral,1.0,,,Virgin America,0,virginamerica happened doom,negative,0.574,negative,0.8019611239433289,negative,0.7279084920883179,negative,0.6617469787597656,neutral,1.0
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica cant supp biz traveler southwestair customer service jetblue neverflyvirginforbusiness,neutral,1.0,negative,0.9773977398872375,negative,0.8764312267303467,positive,0.47645944356918335,negative,1.0
positive,1.0,,,Virgin America,0,virginamerica ive applied member inflight crew teamim interested flightattendant dreampath g,positive,0.231,positive,0.8281283974647522,neutral,0.7438387870788574,positive,0.5903491973876953,positive,1.0
negative,0.6792,Late Flight,0.3477,Virgin America,0,virginamerica youre best whenever begrudgingly use airline im delayed late,positive,0.298,negative,0.5806803107261658,negative,0.5525240302085876,positive,0.7671793103218079,negative,0.6792
negative,1.0,Can't Tell,1.0,Virgin America,0,virginamerica interesting flying cancelled next four flight plannedneverflyvirginforbusiness,positive,0.252,negative,0.9738523364067078,negative,0.8433678150177002,negative,0.42822495102882385,negative,1.0
negative,1.0,Can't Tell,1.0,Virgin America,0,virginamerica disappointing experience shared every business traveler meet neverflyvirgin,negative,0.254,negative,0.981295108795166,negative,0.932959794998169,negative,0.5134344100952148,negative,1.0
negative,1.0,Flight Booking Problems,1.0,Virgin America,0,virginamerica im trouble adding wife booked elevate account help httptcopxhqoksr,neutral,0.597,negative,0.8023304343223572,negative,0.6214306950569153,negative,0.5323980450630188,negative,1.0
neutral,0.6705,,0.0,Virgin America,0,virginamerica cant bring reservation online using booking problem code,negative,0.252,negative,0.9213385581970215,negative,0.7977996468544006,positive,0.4668422341346741,negative,0.9213385581970215
neutral,1.0,,,Virgin America,0,virginamerica random q whats distribution elevate avatar bet kitty disproportionate share httptcoaptzpurop,positive,0.18,neutral,0.9778597354888916,neutral,0.9205664992332458,negative,0.4784974753856659,neutral,1.0
neutral,0.6545,,0.0,Virgin America,0,virginamerica lt flying va life happens trying change trip jperhi helpva home page let,neutral,1.0,neutral,0.9772971868515015,neutral,0.8143079280853271,positive,0.5243603587150574,neutral,0.9772971868515015
negative,1.0,Can't Tell,0.6513,Virgin America,0,virginamerica site back,neutral,1.0,neutral,0.8787187933921814,neutral,0.7526044249534607,positive,0.4954918622970581,negative,1.0
neutral,1.0,,,Virgin America,0,virginamerica rnp yeah know,positive,0.423,neutral,0.943033754825592,neutral,0.8600336909294128,positive,0.5795911550521851,neutral,1.0
neutral,0.6639,,0.0,Virgin America,0,virginamerica hi point elevate account recent add point account,neutral,1.0,neutral,0.9641434550285339,neutral,0.8195498585700989,positive,0.5552265048027039,neutral,0.9641434550285339
negative,1.0,Cancelled Flight,1.0,Virgin America,0,virginamerica tv interesting video disappointed cancelled flightled flight went jfk saturday,negative,0.323,negative,0.9491571187973022,negative,0.8951020240783691,negative,0.6183955073356628,negative,1.0
negative,1.0,Late Flight,1.0,Virgin America,0,virginamerica landed lax hour late bag check business travel friendly nomorevirgin,positive,0.242,neutral,0.8902262449264526,neutral,0.5711154937744141,positive,0.59120112657547,negative,1.0
neutral,0.6765,,0.0,Virgin America,0,virginamerica redirected,neutral,1.0,neutral,0.9277397394180298,neutral,0.7103158235549927,negative,0.4201652705669403,neutral,0.9277397394180298
negative,1.0,Customer Service Issue,0.6863,Virgin America,0,virginamerica website btw new website isnt great user experience time another redesign,negative,0.23,negative,0.981138288974762,negative,0.9430270791053772,positive,0.6652399897575378,negative,1.0
negative,1.0,Customer Service Issue,0.6771,Virgin America,0,virginamerica cant check add bag website isnt working ive tried desktop mobile httptcoavyqdmpiy,neutral,1.0,negative,0.8933987617492676,negative,0.8403962254524231,positive,0.4469658136367798,negative,1.0
negative,1.0,Can't Tell,0.659,Virgin America,0,virginamerica let scanned passenger leave plane told someone remove bag st class bin uncomfortable,negative,0.241,negative,0.8624637722969055,negative,0.7685191631317139,negative,0.45127788186073303,negative,1.0
negative,1.0,Flight Booking Problems,0.6714,Virgin America,0,virginamerica phone number cant find call reservation,positive,0.178,negative,0.8565383553504944,negative,0.6169167757034302,positive,0.3904423117637634,negative,1.0
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica anyone anything today website useless one answering phone,negative,0.259,negative,0.9808047413825989,negative,0.9255609512329102,neutral,0.37321552634239197,negative,1.0
neutral,1.0,,,Virgin America,0,virginamerica trying add boy prince ressie sf thursday virginamerica lax httptcogsbjcgm,neutral,1.0,neutral,0.9737904667854309,neutral,0.8842453956604004,positive,0.5655534863471985,neutral,1.0
negative,1.0,Late Flight,0.6882,Virgin America,0,virginamerica must traveler miss late check bag missed morning appointment lost business sfolax,negative,0.379,negative,0.9587724804878235,negative,0.877254843711853,negative,0.39488163590431213,negative,1.0
neutral,1.0,,,Virgin America,0,virginamerica check new music httptcomarcnocwzn,neutral,1.0,neutral,0.9339799284934998,neutral,0.8952098488807678,positive,0.5193414092063904,neutral,1.0
negative,0.6925,Late Flight,0.3521,Virgin America,0,virginamerica hows direct fllgtsfo unexpected layover vega fuel yet peep next bought vega sneaky,negative,0.128,neutral,0.9403794407844543,negative,0.6401445865631104,positive,0.5466403961181641,negative,0.6925
negative,1.0,Late Flight,0.3486,Virgin America,0,virginamerica late bag check lost business missed apt three people exp,negative,0.333,negative,0.9635511636734009,negative,0.8792436718940735,negative,0.4343824088573456,negative,1.0
positive,1.0,,,Virgin America,0,virginamerica amazing customer service raeann sf shes best customerservice virginamerica flying,positive,0.471,positive,0.9923205971717834,positive,0.9797235727310181,positive,0.8576598167419434,positive,1.0
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica called service line hung awesome sarcasm,positive,0.373,positive,0.5795146822929382,positive,0.5135505199432373,positive,0.48346439003944397,negative,1.0
negative,1.0,Flight Booking Problems,0.6366,Virgin America,0,virginamerica site tripping im trying check im getting plain text version reluctant enter card info,negative,0.125,negative,0.8781019449234009,negative,0.7717528939247131,negative,0.42003482580184937,negative,1.0
neutral,0.6593,,0.0,Virgin America,0,virginamerica scheduled sfo dal today changed th due weather look still,neutral,1.0,neutral,0.9737038016319275,neutral,0.8171302080154419,positive,0.3984183073043823,neutral,0.9737038016319275
positive,0.6823,,0.0,Virgin America,0,virginamerica getaway deal may oneway lot cool city httptcotzzjhuibch cheapflights farecompare,positive,0.187,positive,0.9353168606758118,positive,0.916956901550293,positive,0.7077838778495789,positive,0.9353168606758118
neutral,1.0,,,Virgin America,0,virginamerica getaway deal may oneway lot cool city httptcorpdbpxwnd cheapflights farecompare,positive,0.187,positive,0.9366788268089294,positive,0.9166273474693298,positive,0.7154840230941772,neutral,1.0
positive,0.6806,,,Virgin America,0,virginamerica getaway deal may oneway lot cool city httptcobxiygt cheapflights farecompare,positive,0.187,positive,0.9382203817367554,positive,0.8989512920379639,positive,0.70074063539505,positive,0.9382203817367554
neutral,0.6529,,,Virgin America,0,virginamerica getaway deal may oneway lot cool city httptcoqdljhsloi cheapflights farecompare,positive,0.187,positive,0.9298227429389954,positive,0.9107542634010315,positive,0.733157217502594,positive,0.9298227429389954
positive,0.6779999999999999,,,Virgin America,0,virginamerica great week,positive,0.672,positive,0.9855485558509827,positive,0.970201313495636,positive,0.9548921585083008,positive,0.9855485558509827
positive,0.3482,,0.0,Virgin America,0,virginamerica come back phl already need take u horrible cold pleasecomeback httptcoglxfwpnqh,negative,0.259,negative,0.9503063559532166,negative,0.851176381111145,negative,0.5988655090332031,negative,0.9503063559532166
negative,1.0,Late Flight,1.0,Virgin America,0,virginamerica concerned fly plane need delayed due tech stop,negative,0.369,negative,0.9326283931732178,negative,0.7206764817237854,positive,0.3746623992919922,negative,1.0
positive,1.0,,,Virgin America,0,virginamerica best airline flown oneasy change reservationhelpful representative amp comfortable flying experience,positive,0.429,positive,0.9911804795265198,positive,0.8834537267684937,positive,0.7564898133277893,positive,1.0
positive,1.0,,,Virgin America,0,virginamerica another rep kicked butt naelah represents team beautifully thank,positive,0.437,positive,0.9919376969337463,positive,0.9328928589820862,positive,0.8915237188339233,positive,1.0
positive,1.0,,,Virgin America,0,virginamerica beautiful frontend design right now cool still book ticket bc backend secure,positive,0.462,positive,0.9879119396209717,positive,0.9794609546661377,positive,0.8934692144393921,positive,1.0
positive,1.0,,,Virgin America,0,virginamerica love team running gate e la tonight waited delayed kept thing entertaining,positive,0.394,positive,0.9773691296577454,positive,0.8606869578361511,positive,0.9077390432357788,positive,1.0
negative,0.6832,Customer Service Issue,0.3773,Virgin America,0,virginamerica use another browser amp brand reputation built tech response doesnt crossbrowser compatible website,neutral,1.0,negative,0.7648648619651794,negative,0.7337496876716614,negative,0.3653123676776886,negative,0.7648648619651794
negative,1.0,Flight Booking Problems,0.6767,Virgin America,0,virginamerica now booking problem site totally folk problem,negative,0.474,negative,0.9791282415390015,negative,0.9117770791053772,negative,0.5856025815010071,negative,1.0
negative,1.0,Customer Service Issue,0.6527,Virgin America,0,virginamerica customer service min delay connecting passenger seems long va,negative,0.204,negative,0.9556898474693298,negative,0.7632083892822266,positive,0.4450054466724396,negative,1.0
positive,1.0,,,Virgin America,0,virginamerica thanks outstanding nycjfk crew moved mountain home san francisco tonight,positive,0.434,positive,0.982421338558197,positive,0.9330527782440186,positive,0.9423916935920715,positive,1.0
positive,1.0,,,Virgin America,0,virginamerica absolute best team customer service every time fly im delighted thank,positive,0.526,positive,0.9920156002044678,positive,0.9849308729171753,positive,0.9386935830116272,positive,1.0
neutral,1.0,,,Virgin America,0,virginamerica provide complimentary upgrade first class available seat,positive,0.293,positive,0.5819239020347595,neutral,0.716035783290863,positive,0.661809504032135,neutral,1.0
negative,0.6703,Customer Service Issue,0.6703,Virgin America,0,virginamerica need change thats scheduled hour min wait time phone im calling intern help,positive,0.172,negative,0.5985327959060669,negative,0.8644657731056213,positive,0.500204861164093,negative,0.8644657731056213
positive,1.0,,,Virgin America,0,virginamerica completely awesome experience last month boslas nonstop thanks awesome depart time vabeatsjblue,positive,0.539,positive,0.9924278855323792,positive,0.9859600067138672,positive,0.8544295430183411,positive,1.0
neutral,1.0,,,Virgin America,0,virginamerica watch oscar jfkgtsfo,neutral,1.0,neutral,0.9439463019371033,neutral,0.8170760869979858,positive,0.526579737663269,neutral,1.0
neutral,0.6535,,0.0,Virgin America,0,virginamerica cancelled flightled,negative,0.5,negative,0.9319759011268616,negative,0.6783968210220337,negative,0.5309399962425232,negative,0.9319759011268616
negative,1.0,Customer Service Issue,0.6448,Virgin America,0,virginamerica failing customer check process link tsa precheck,negative,0.32,negative,0.9782852530479431,negative,0.928067684173584,negative,0.6405900120735168,negative,1.0
negative,1.0,Can't Tell,1.0,Virgin America,0,virginamerica fidifamilies u terrible airline gave u hotel hotline number said sorry,negative,0.346,negative,0.9802890419960022,negative,0.950001060962677,negative,0.802850067615509,negative,1.0
neutral,1.0,,,Virgin America,0,virginamerica number sfo cabo san lucas arrived yet,positive,0.157,neutral,0.9718895554542542,neutral,0.8964933156967163,positive,0.4326120913028717,neutral,1.0
negative,1.0,Cancelled Flight,0.6875,Virgin America,0,virginamerica chrysichrysic assistance yesterday u cancelled flightled give u hotel hotline shame,negative,0.389,negative,0.9791421890258789,negative,0.9101300835609436,positive,0.4113107919692993,negative,1.0
negative,1.0,Late Flight,1.0,Virgin America,0,virginamerica another delayed likingyoulessandless,negative,0.388,negative,0.9669640064239502,negative,0.8967363238334656,positive,0.39056968688964844,negative,1.0
negative,1.0,Customer Service Issue,1.0,Virgin America,0,virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,positive,0.185,neutral,0.5552712082862854,negative,0.7109745144844055,positive,0.46234753727912903,negative,1.0
